timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap
2023-05-22T00:00:00.000Z,2023-05-22T23:59:59.999Z,2023-05-22T06:26:00.000Z,2023-05-22T00:37:00.000Z,1.382030119,1.492650809,1.378284877,1.426035752,462181.38,83620491.93
2023-05-21T00:00:00.000Z,2023-05-21T23:59:59.999Z,2023-05-21T00:54:00.000Z,2023-05-21T22:59:00.000Z,1.387808301,1.391814236,1.363359569,1.381894884,272015.05,81032140.88
2023-05-20T00:00:00.000Z,2023-05-20T23:59:59.999Z,2023-05-20T04:03:00.000Z,2023-05-20T00:13:00.000Z,1.383622291,1.395350215,1.380165939,1.387544312,229157.01,81363414.45
2023-05-19T00:00:00.000Z,2023-05-19T23:59:59.999Z,2023-05-19T21:55:00.000Z,2023-05-19T22:47:00.000Z,1.395630942,1.39751446,1.379045656,1.384840955,214777.84,81204893.86
2023-05-18T00:00:00.000Z,2023-05-18T23:59:59.999Z,2023-05-18T00:21:00.000Z,2023-05-18T21:11:00.000Z,1.411564798,1.412981073,1.389886629,1.394850239,272311.25,81791822.54
2023-05-17T00:00:00.000Z,2023-05-17T23:59:59.999Z,2023-05-17T03:50:00.000Z,2023-05-17T11:46:00.000Z,1.40917488,1.429043712,1.397624342,1.411908363,230304.82,82792084.08
2023-05-16T00:00:00.000Z,2023-05-16T23:59:59.999Z,2023-05-16T07:37:00.000Z,2023-05-16T23:16:00.000Z,1.411949013,1.429490688,1.406299727,1.408026239,266755.7,82564442.42
2023-05-15T00:00:00.000Z,2023-05-15T23:59:59.999Z,2023-05-15T01:55:00.000Z,2023-05-15T23:54:00.000Z,1.457917334,1.463499606,1.409186998,1.412134616,318140.1,82805351.18
2023-05-14T00:00:00.000Z,2023-05-14T23:59:59.999Z,2023-05-14T15:07:00.000Z,2023-05-14T01:53:00.000Z,1.445707411,1.461805926,1.441197186,1.458237555,277804.71,85508754.98
2023-05-13T00:00:00.000Z,2023-05-13T23:59:59.999Z,2023-05-13T02:03:00.000Z,2023-05-13T12:37:00.000Z,1.461247004,1.473783571,1.43524136,1.444094053,273518.92,84679402.29
2023-05-12T00:00:00.000Z,2023-05-12T23:59:59.999Z,2023-05-12T00:58:00.000Z,2023-05-12T21:08:00.000Z,1.485181611,1.491388658,1.446795756,1.46057503,338470.03,85645820.8
2023-05-11T00:00:00.000Z,2023-05-11T23:59:59.999Z,2023-05-11T00:47:00.000Z,2023-05-11T19:39:00.000Z,1.501646697,1.502901363,1.481326043,1.485304964,198290.18,87095945.23
2023-05-10T00:00:00.000Z,2023-05-10T23:59:59.999Z,2023-05-10T13:47:00.000Z,2023-05-10T07:10:00.000Z,1.493067035,1.533079688,1.483922313,1.50158079,254379.13,88050334.02
2023-05-09T00:00:00.000Z,2023-05-09T23:59:59.999Z,2023-05-09T11:18:00.000Z,2023-05-09T06:22:00.000Z,1.493457425,1.514885626,1.485055994,1.492764745,163822.8,87533375.07
2023-05-08T00:00:00.000Z,2023-05-08T23:59:59.999Z,2023-05-08T01:10:00.000Z,2023-05-08T19:11:00.000Z,1.516737538,1.524315493,1.485230044,1.49316063,198610.15,87556589.12
2023-05-07T00:00:00.000Z,2023-05-07T23:59:59.999Z,2023-05-07T20:29:00.000Z,2023-05-07T07:34:00.000Z,1.521946486,1.54087049,1.507680427,1.517251549,115024.91,88969242.67
2023-05-06T00:00:00.000Z,2023-05-06T23:59:59.999Z,2023-05-06T00:40:00.000Z,2023-05-06T21:46:00.000Z,1.570844062,1.581045248,1.515385615,1.522237701,209282.67,89261622.79
2023-05-05T00:00:00.000Z,2023-05-05T23:59:59.999Z,2023-05-05T00:31:00.000Z,2023-05-05T12:37:00.000Z,1.575478344,1.580605866,1.549438947,1.569682823,257377.71,92043730.07
2023-05-04T00:00:00.000Z,2023-05-04T23:59:59.999Z,2023-05-04T01:10:00.000Z,2023-05-04T23:59:00.000Z,1.648946653,1.66211404,1.57528094,1.57528094,189990.97,92371994.83
2023-05-03T00:00:00.000Z,2023-05-03T23:59:59.999Z,2023-05-03T17:45:00.000Z,2023-05-03T03:52:00.000Z,1.608820065,1.66963272,1.578398827,1.648169245,508289.78,96646050.31
2023-05-02T00:00:00.000Z,2023-05-02T23:59:59.999Z,2023-05-02T20:44:00.000Z,2023-05-02T09:25:00.000Z,1.615208638,1.630560003,1.572072846,1.609102296,250547.15,94355225.93
2023-05-01T00:00:00.000Z,2023-05-01T23:59:59.999Z,2023-05-01T00:21:00.000Z,2023-05-01T21:01:00.000Z,1.668452154,1.672178135,1.597367795,1.615021428,302834.16,94702314.51
2023-04-30T00:00:00.000Z,2023-04-30T23:59:59.999Z,2023-04-30T01:38:00.000Z,2023-04-30T14:18:00.000Z,1.699778848,1.719590865,1.657788701,1.66772519,273065.13,97792780.17
2023-04-29T00:00:00.000Z,2023-04-29T23:59:59.999Z,2023-04-29T13:30:00.000Z,2023-04-29T18:57:00.000Z,1.733777219,1.735181722,1.685466432,1.699815573,287727.65,99674509.67
2023-04-28T00:00:00.000Z,2023-04-28T23:59:59.999Z,2023-04-28T23:37:00.000Z,2023-04-28T13:43:00.000Z,1.671043057,1.737563767,1.649742595,1.733178734,377960.48,101630872.9
2023-04-27T00:00:00.000Z,2023-04-27T23:59:59.999Z,2023-04-27T00:35:00.000Z,2023-04-27T09:25:00.000Z,1.633603595,1.672040884,1.62813336,1.671102979,368177.27,97990848.38
2023-04-26T00:00:00.000Z,2023-04-26T23:59:59.999Z,2023-04-26T12:37:00.000Z,2023-04-26T23:42:00.000Z,1.673407103,1.687099889,1.631076403,1.633726707,330057.05,95799162.61
2023-04-25T00:00:00.000Z,2023-04-25T23:59:59.999Z,2023-04-25T23:46:00.000Z,2023-04-25T14:47:00.000Z,1.629715656,1.676147139,1.567132709,1.673450731,383970.17,98128516.87
